created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2023-02-07 17:56:38+00:00,"Hmmm, should I:

A - Fight a tired Tyron Woodley that hasn’t won a single boxing fight and got knocked out by Jake Paul by standing still?

B - Fight A pro boxer with a better boxing record than Tommy Fury? https://t.co/rq5PlpUqza",20714,272,True,False
2023-02-07 17:29:56+00:00,Over 75% sold out now omg lol https://t.co/6dPwziiul7,7678,119,True,False
2023-02-07 17:27:46+00:00,Over 50% sold out now lol https://t.co/6dPwziiul7,3615,76,True,False
2023-02-07 14:24:08+00:00,Misfits 005 is over 25% sold out already,15499,125,False,False
2023-02-07 13:05:56+00:00,Get your tickets now 🙌🏿 https://t.co/qhSVszGo3k,3429,62,True,False
2023-02-07 11:41:11+00:00,Why are you there?!?!? @wroetoshaw https://t.co/imCzvh0Jxq,115616,1787,False,False
2023-02-07 04:48:26+00:00,"Perth and Sydney, we’re coming👌🏿 https://t.co/xCNmsR7x83",17287,473,False,False
2023-02-06 14:55:39+00:00,Congrats Jed ❤️ https://t.co/ejeBCYKwjy,15677,326,True,False
2023-02-05 19:57:07+00:00,OHHHHHHHHHHHH https://t.co/3aLHxaV5yu,39432,513,False,False
2023-02-05 18:40:28+00:00,Controversial video warning… https://t.co/GEgMXZa5rW,13508,298,True,False
2023-02-05 18:33:08+00:00,@StuartJones7 😂,348,3,False,False
2023-02-05 18:32:47+00:00,Gatorade took down my tweet promoting JiDion’s latest video. They really are that triggered 😂😂😂 https://t.co/gDP0xvRV0r,30668,518,False,False
2023-02-05 18:26:18+00:00,Thank you very much Tottenham for not bottling it for once 👌🏿. Still 5 points ahead with 1 game in hand. #PrimeArsenal https://t.co/u326rXpumc,13545,295,False,False
2023-02-05 14:52:05+00:00,So you gave into my demands and now want to give me more money too? You got yourself a deal idiot 😂😂😂😂 https://t.co/JSpnx0mFZq,95731,2089,True,False
2023-02-04 17:14:46+00:00,@StokeyyG2 https://t.co/SOFH0SsRpP,18825,479,False,False
2023-02-04 16:54:12+00:00,"Just to remind you all, Arsenal are still top of the Premier League 👌🏿",29429,815,False,False
2023-02-04 16:50:35+00:00,Is there any point in believing Tottenham to beat Man City tomorrow? https://t.co/4eeGAuFeQr,16739,602,False,False
2023-02-04 07:55:45+00:00,Remember when Jake said he would fight me at any weight? Or do all Jake Paul fans have memory loss? 😂 https://t.co/ft4iejVjsQ,22246,555,True,False
2023-02-04 05:22:11+00:00,The king is back @Jidion6 https://t.co/UE0OfMl9UC,25254,624,False,False
2023-02-04 05:13:09+00:00,"Tize bro, you know this is fake right? 😂😂 https://t.co/WnrTQJB1Cu",63674,1089,True,False
2023-02-03 18:09:01+00:00,This video 😂😂😂😂 https://t.co/5uaq2WoRI2,15090,640,True,False
2023-02-03 11:47:05+00:00,@BoxingbitsUk @BoxingKingdom14 Ah lol,189,2,False,False
2023-02-03 11:45:46+00:00,@BoxingKingdom14 This was Kell Brook?!?!?!,311,7,False,False
2023-02-03 09:43:46+00:00,Naaa this is outrageous https://t.co/hYN00iDI5Z,79680,1913,True,False
2023-02-02 18:21:41+00:00,https://t.co/mOCGpGhBnr,29849,724,False,False
2023-02-02 16:02:27+00:00,❤️ https://t.co/dihppgKxXs,12470,722,True,False
2023-02-02 14:46:25+00:00,"2023 is your year bro, this is huge!!!! https://t.co/Gvgf2ee8tW",28391,819,True,False
2023-02-01 17:24:29+00:00,"Alright so, just heard that I’m about to get my 9th UK Top 10!! That’s unreal. However I still need your help to keep it up there this week so, grab a CD or download on iTunes to help out ❤️

Link: https://t.co/V3NRZYCJso",9803,672,False,False
2023-01-31 20:22:26+00:00,@KSITweets @PrimeHydrate Sweat flavour,420,15,False,False
2023-01-31 17:59:01+00:00,"What Logan Paul and I have achieved with Prime is simply mind blowing. 2 YouTubers with a dream, and now we’ve turned it into reality. Prime sponsors Arsenal FC and now the UFC. What a time to be alive man. https://t.co/ZRZxrFWTmg",107600,2864,False,False
2023-01-31 17:23:43+00:00,@KEEMSTAR 😂,6591,86,False,False
2023-01-31 17:03:58+00:00,Why do I look so stiff? https://t.co/1deZG1bjlY,23064,859,True,False
2023-01-30 23:07:15+00:00,@MrBeast Twitter is just full of sad stupid people 😂,97553,1805,False,False
2023-01-30 21:21:00+00:00,"After seeing that Mayweather spar, Deji would destroy Jarvis",43837,476,False,False
2023-01-30 21:08:43+00:00,@JauniusKanapka Good to see you bro,299,5,False,False
2023-01-30 20:12:52+00:00,Boxing Purists ain’t gonna like this one 😂😂😂 https://t.co/2wIWd2EWUd,20275,802,True,False
2023-01-30 09:11:36+00:00,"RT @KSI: This Monday, Misfits is gonna change boxing forever. This has NEVER been done before on the big stage. Watch this space…",0,660,False,False
2023-01-29 18:20:42+00:00,@FoxTownley I’m scared,2305,24,False,False
2023-01-29 17:00:24+00:00,@FoxTownley It’s normal with every big fight,2526,24,False,False
2023-01-29 10:54:50+00:00,"At the end of the day, everyone is entitled to their opinion. If my actions mean I now have a better relationship with my family, then I’m happy.",104644,1810,False,False
2023-01-29 10:24:06+00:00,@_Eskayyy Then you can’t comment 😂😂😂. Watch the doc,4384,21,False,False
2023-01-29 10:20:16+00:00,@_Eskayyy Did you watch the doc?,3693,12,False,False
2023-01-29 09:55:34+00:00,@mranthonyyarde Warriors 🙌🏿🙌🏿,383,4,False,False
2023-01-29 09:54:21+00:00,It’s so evident that this person hasn’t watched my doc. Just completely missed the point smh https://t.co/ijCK1flyCv,40168,1394,True,False
2023-01-29 02:23:22+00:00,This is ridiculous https://t.co/MoTsjesfqm,92472,3389,True,False
